type,name,size,i,time,verification
sorting,native,4,1,0.000001,1
sorting,native,4,2,0.000001,1
sorting,native,4,3,0.000001,1
sorting,native,4,4,0.000010,1
sorting,native,4,5,0.000001,1
sorting,native,4,6,0.000001,1
sorting,native,4,7,0.000002,1
sorting,native,4,8,0.000002,1
sorting,native,4,9,0.000001,1
sorting,native,4,10,0.000002,1
sorting,native,4,11,0.000001,1
sorting,native,8,0,0.000001,1
sorting,native,8,1,0.000002,1
sorting,native,8,2,0.000002,1
sorting,native,8,3,0.000001,1
sorting,native,8,4,0.000002,1
sorting,native,8,5,0.000001,1
sorting,native,8,6,0.000001,1
sorting,native,8,7,0.000001,1
sorting,native,8,8,0.000002,1
sorting,native,8,9,0.000002,1
sorting,native,8,10,0.000002,1
sorting,native,8,11,0.000001,1
sorting,native,16,0,0.000003,1
sorting,native,16,1,0.000003,1
sorting,native,16,2,0.000003,1
sorting,native,16,3,0.000001,1
sorting,native,16,4,0.000002,1
sorting,native,16,5,0.000001,1
sorting,native,16,6,0.000001,1
sorting,native,16,7,0.000002,1
sorting,native,16,8,0.000001,1
sorting,native,16,9,0.000001,1
sorting,native,16,10,0.000002,1
sorting,native,16,11,0.000001,1
sorting,native,32,0,0.000004,1
sorting,native,32,1,0.000005,1
sorting,native,32,2,0.000005,1
sorting,native,32,3,0.000001,1
sorting,native,32,4,0.000001,1
sorting,native,32,5,0.000001,1
sorting,native,32,6,0.000002,1
sorting,native,32,7,0.000001,1
sorting,native,32,8,0.000001,1
sorting,native,32,9,0.000002,1
sorting,native,32,10,0.000002,1
sorting,native,32,11,0.000001,1
sorting,native,64,0,0.000011,1
sorting,native,64,1,0.000009,1
sorting,native,64,2,0.000009,1
sorting,native,64,3,0.000008,1
sorting,native,64,4,0.000007,1
sorting,native,64,5,0.000007,1
sorting,native,64,6,0.000002,1
sorting,native,64,7,0.000002,1
sorting,native,64,8,0.000002,1
sorting,native,64,9,0.000002,1
sorting,native,64,10,0.000002,1
sorting,native,64,11,0.000002,1
sorting,native,128,0,0.000023,1
sorting,native,128,1,0.000022,1
sorting,native,128,2,0.000022,1
sorting,native,128,3,0.000019,1
sorting,native,128,4,0.000017,1
sorting,native,128,5,0.000018,1
sorting,native,128,6,0.000002,1
sorting,native,128,7,0.000003,1
sorting,native,128,8,0.000003,1
sorting,native,128,9,0.000003,1
sorting,native,128,10,0.000003,1
sorting,native,128,11,0.000003,1
sorting,native,256,0,0.000052,1
sorting,native,256,1,0.000049,1
sorting,native,256,2,0.000049,1
sorting,native,256,3,0.000040,1
sorting,native,256,4,0.000039,1
sorting,native,256,5,0.000040,1
sorting,native,256,6,0.000004,1
sorting,native,256,7,0.000004,1
sorting,native,256,8,0.000005,1
sorting,native,256,9,0.000006,1
sorting,native,256,10,0.000005,1
sorting,native,256,11,0.000005,1
sorting,native,512,0,0.000114,1
sorting,native,512,1,0.000117,1
sorting,native,512,2,0.000113,1
sorting,native,512,3,0.000091,1
sorting,native,512,4,0.000087,1
sorting,native,512,5,0.000087,1
sorting,native,512,6,0.000047,1
sorting,native,512,7,0.000044,1
sorting,native,512,8,0.000043,1
sorting,native,512,9,0.000007,1
sorting,native,512,10,0.000007,1
sorting,native,512,11,0.000007,1
sorting,native,1024,0,0.000264,1
sorting,native,1024,1,0.000263,1
sorting,native,1024,2,0.000266,1
sorting,native,1024,3,0.000212,1
sorting,native,1024,4,0.000207,1
sorting,native,1024,5,0.000209,1
sorting,native,1024,6,0.000127,1
sorting,native,1024,7,0.000125,1
sorting,native,1024,8,0.000126,1
sorting,native,1024,9,0.000013,1
sorting,native,1024,10,0.000013,1
sorting,native,1024,11,0.000013,1
sorting,native,2048,0,0.000621,1
sorting,native,2048,1,0.000585,1
sorting,native,2048,2,0.000575,1
sorting,native,2048,3,0.000466,1
sorting,native,2048,4,0.000447,1
sorting,native,2048,5,0.000448,1
sorting,native,2048,6,0.000284,1
sorting,native,2048,7,0.000277,1
sorting,native,2048,8,0.000276,1
sorting,native,2048,9,0.000025,1
sorting,native,2048,10,0.000024,1
sorting,native,2048,11,0.000024,1
sorting,native,4096,0,0.001312,1
sorting,native,4096,1,0.001281,1
sorting,native,4096,2,0.001290,1
sorting,native,4096,3,0.001045,1
sorting,native,4096,4,0.001045,1
sorting,native,4096,5,0.001037,1
sorting,native,4096,6,0.000708,1
sorting,native,4096,7,0.000699,1
sorting,native,4096,8,0.000699,1
sorting,native,4096,9,0.000363,1
sorting,native,4096,10,0.000348,1
sorting,native,4096,11,0.000325,1
sorting,native,8192,0,0.002956,1
sorting,native,8192,1,0.002977,1
sorting,native,8192,2,0.002904,1
sorting,native,8192,3,0.002392,1
sorting,native,8192,4,0.002450,1
sorting,native,8192,5,0.002430,1
sorting,native,8192,6,0.001708,1
sorting,native,8192,7,0.001676,1
sorting,native,8192,8,0.001683,1
sorting,native,8192,9,0.000961,1
sorting,native,8192,10,0.000954,1
sorting,native,8192,11,0.001278,1
sorting,native,16384,0,0.007019,1
sorting,native,16384,1,0.007010,1
sorting,native,16384,2,0.006570,1
sorting,native,16384,3,0.005851,1
sorting,native,16384,4,0.005478,1
sorting,native,16384,5,0.005346,1
sorting,native,16384,6,0.003794,1
sorting,native,16384,7,0.003827,1
sorting,native,16384,8,0.004038,1
sorting,native,16384,9,0.002520,1
sorting,native,16384,10,0.002381,1
sorting,native,16384,11,0.002402,1
sorting,native,32768,0,0.015414,1
sorting,native,32768,1,0.015378,1
sorting,native,32768,2,0.015388,1
sorting,native,32768,3,0.012256,1
sorting,native,32768,4,0.012272,1
sorting,native,32768,5,0.012219,1
sorting,native,32768,6,0.008724,1
sorting,native,32768,7,0.008699,1
sorting,native,32768,8,0.008759,1
sorting,native,32768,9,0.006184,1
sorting,native,32768,10,0.005994,1
sorting,native,32768,11,0.006360,1
sorting,insertion,1,0,0.000009,1
sorting,insertion,1,1,0.000003,1
sorting,insertion,1,2,0.000003,1
sorting,insertion,1,3,0.000002,1
sorting,insertion,1,4,0.000002,1
sorting,insertion,1,5,0.000003,1
sorting,insertion,1,6,0.000003,1
sorting,insertion,1,7,0.000003,1
sorting,insertion,1,8,0.000002,1
sorting,insertion,1,9,0.000003,1
sorting,insertion,1,10,0.000003,1
sorting,insertion,1,11,0.000002,1
sorting,insertion,2,0,0.000005,1
sorting,insertion,2,1,0.000004,1
sorting,insertion,2,2,0.000004,1
sorting,insertion,2,3,0.000004,1
sorting,insertion,2,4,0.000004,1
sorting,insertion,2,5,0.000004,1
sorting,insertion,2,6,0.000004,1
sorting,insertion,2,7,0.000004,1
sorting,insertion,2,8,0.000004,1
sorting,insertion,2,9,0.000004,1
sorting,insertion,2,10,0.000004,1
sorting,insertion,2,11,0.000004,1
sorting,insertion,4,0,0.000005,1
sorting,insertion,4,1,0.000006,1
sorting,insertion,4,2,0.000005,1
sorting,insertion,4,3,0.000004,1
sorting,insertion,4,4,0.000005,1
sorting,insertion,4,5,0.000005,1
sorting,insertion,4,6,0.000004,1
sorting,insertion,4,7,0.000005,1
sorting,insertion,4,8,0.000005,1
sorting,insertion,4,9,0.000004,1
sorting,insertion,4,10,0.000005,1
sorting,insertion,4,11,0.000004,1
sorting,insertion,8,0,0.000013,1
sorting,insertion,8,1,0.000010,1
sorting,insertion,8,2,0.000010,1
sorting,insertion,8,3,0.000007,1
sorting,insertion,8,4,0.000006,1
sorting,insertion,8,5,0.000007,1
sorting,insertion,8,6,0.000007,1
sorting,insertion,8,7,0.000007,1
sorting,insertion,8,8,0.000006,1
sorting,insertion,8,9,0.000006,1
sorting,insertion,8,10,0.000007,1
sorting,insertion,8,11,0.000006,1
sorting,insertion,16,0,0.000026,1
sorting,insertion,16,1,0.000024,1
sorting,insertion,16,2,0.000024,1
sorting,insertion,16,3,0.000009,1
sorting,insertion,16,4,0.000009,1
sorting,insertion,16,5,0.000010,1
sorting,insertion,16,6,0.000009,1
sorting,insertion,16,7,0.000010,1
sorting,insertion,16,8,0.000009,1
sorting,insertion,16,9,0.000009,1
sorting,insertion,16,10,0.000009,1
sorting,insertion,16,11,0.000009,1
sorting,insertion,32,0,0.000081,1
sorting,insertion,32,1,0.000053,1
sorting,insertion,32,2,0.000050,1
sorting,insertion,32,3,0.000009,1
sorting,insertion,32,4,0.000010,1
sorting,insertion,32,5,0.000009,1
sorting,insertion,32,6,0.000009,1
sorting,insertion,32,7,0.000009,1
sorting,insertion,32,8,0.000009,1
sorting,insertion,32,9,0.000008,1
sorting,insertion,32,10,0.000009,1
sorting,insertion,32,11,0.000009,1
sorting,insertion,64,0,0.000178,1
sorting,insertion,64,1,0.000193,1
sorting,insertion,64,2,0.000181,1
sorting,insertion,64,3,0.000130,1
sorting,insertion,64,4,0.000134,1
sorting,insertion,64,5,0.000104,1
sorting,insertion,64,6,0.000015,1
sorting,insertion,64,7,0.000014,1
sorting,insertion,64,8,0.000014,1
sorting,insertion,64,9,0.000015,1
sorting,insertion,64,10,0.000014,1
sorting,insertion,64,11,0.000015,1
sorting,insertion,128,0,0.000709,1
sorting,insertion,128,1,0.000666,1
sorting,insertion,128,2,0.000596,1
sorting,insertion,128,3,0.000495,1
sorting,insertion,128,4,0.000561,1
sorting,insertion,128,5,0.000853,1
sorting,insertion,128,6,0.000045,1
sorting,insertion,128,7,0.000042,1
sorting,insertion,128,8,0.000043,1
sorting,insertion,128,9,0.000042,1
sorting,insertion,128,10,0.000043,1
sorting,insertion,128,11,0.000040,1
sorting,insertion,256,0,0.004123,1
sorting,insertion,256,1,0.002663,1
sorting,insertion,256,2,0.002867,1
sorting,insertion,256,3,0.002841,1
sorting,insertion,256,4,0.002530,1
sorting,insertion,256,5,0.002587,1
sorting,insertion,256,6,0.000050,1
sorting,insertion,256,7,0.000060,1
sorting,insertion,256,8,0.000048,1
sorting,insertion,256,9,0.000047,1
sorting,insertion,256,10,0.000047,1
sorting,insertion,256,11,0.000047,1
sorting,insertion,512,0,0.011070,1
sorting,insertion,512,1,0.011834,1
sorting,insertion,512,2,0.010456,1
sorting,insertion,512,3,0.009924,1
sorting,insertion,512,4,0.010050,1
sorting,insertion,512,5,0.010218,1
sorting,insertion,512,6,0.005534,1
sorting,insertion,512,7,0.005022,1
sorting,insertion,512,8,0.004763,1
sorting,insertion,512,9,0.000098,1
sorting,insertion,512,10,0.000096,1
sorting,insertion,512,11,0.000102,1
sorting,insertion,1024,0,0.045711,1
sorting,insertion,1024,1,0.054207,1
sorting,insertion,1024,2,0.037281,1
sorting,insertion,1024,3,0.038052,1
sorting,insertion,1024,4,0.040400,1
sorting,insertion,1024,5,0.038056,1
sorting,insertion,1024,6,0.033702,1
sorting,insertion,1024,7,0.031887,1
sorting,insertion,1024,8,0.030294,1
sorting,insertion,1024,9,0.000178,1
sorting,insertion,1024,10,0.000176,1
sorting,insertion,1024,11,0.000176,1
sorting,insertion,2048,0,0.159403,1
sorting,insertion,2048,1,0.158633,1
sorting,insertion,2048,2,0.159848,1
sorting,insertion,2048,3,0.160945,1
sorting,insertion,2048,4,0.157877,1
sorting,insertion,2048,5,0.157839,1
sorting,insertion,2048,6,0.140873,1
sorting,insertion,2048,7,0.149605,1
sorting,insertion,2048,8,0.161137,1
sorting,insertion,2048,9,0.000381,1
sorting,insertion,2048,10,0.000577,1
sorting,insertion,2048,11,0.000471,1
sorting,insertion,4096,0,0.678277,1
sorting,insertion,4096,1,0.731272,1
sorting,insertion,4096,2,0.652019,1
sorting,insertion,4096,3,0.629562,1
sorting,insertion,4096,4,0.665068,1
sorting,insertion,4096,5,0.641359,1
sorting,insertion,4096,6,0.676125,1
sorting,insertion,4096,7,0.610937,1
sorting,insertion,4096,8,0.604746,1
sorting,insertion,4096,9,0.371780,1
sorting,insertion,4096,10,0.376973,1
sorting,insertion,4096,11,0.372393,1
sorting,insertion,8192,0,2.693266,1
sorting,insertion,8192,1,2.776091,1
sorting,insertion,8192,2,2.768346,1
sorting,insertion,8192,3,2.680766,1
sorting,insertion,8192,4,2.785125,1
sorting,insertion,8192,5,3.040173,1
sorting,insertion,8192,6,2.906994,1
sorting,insertion,8192,7,2.845603,1
sorting,insertion,8192,8,2.984130,1
sorting,insertion,8192,9,2.363580,1
sorting,insertion,8192,10,2.351638,1
sorting,insertion,8192,11,2.068898,1
sorting,insertion,16384,0,10.597192,1
sorting,insertion,16384,1,13.119846,1
sorting,insertion,16384,2,12.138310,1
sorting,insertion,16384,3,11.158831,1
sorting,insertion,16384,4,11.178533,1
sorting,insertion,16384,5,11.182514,1
sorting,insertion,16384,6,11.045775,1
sorting,insertion,16384,7,10.949787,1
sorting,insertion,16384,8,11.343991,1
sorting,insertion,16384,9,9.570085,1
sorting,insertion,16384,10,9.588305,1
sorting,insertion,16384,11,9.935930,1
