type,name,size,i,time,verification
sorting,insertion,2,5,0.000002,1
sorting,insertion,2,6,0.000002,1
sorting,insertion,2,7,0.000002,1
sorting,insertion,2,8,0.000003,1
sorting,insertion,2,9,0.000002,1
sorting,insertion,2,10,0.000002,1
sorting,insertion,2,11,0.000002,1
sorting,insertion,4,0,0.000003,1
sorting,insertion,4,1,0.000002,1
sorting,insertion,4,2,0.000004,1
sorting,insertion,4,3,0.000002,1
sorting,insertion,4,4,0.000002,1
sorting,insertion,4,5,0.000003,1
sorting,insertion,4,6,0.000003,1
sorting,insertion,4,7,0.000002,1
sorting,insertion,4,8,0.000002,1
sorting,insertion,4,9,0.000002,1
sorting,insertion,4,10,0.000003,1
sorting,insertion,4,11,0.000003,1
sorting,insertion,8,0,0.000006,1
sorting,insertion,8,1,0.000005,1
sorting,insertion,8,2,0.000005,1
sorting,insertion,8,3,0.000003,1
sorting,insertion,8,4,0.000003,1
sorting,insertion,8,5,0.000003,1
sorting,insertion,8,6,0.000003,1
sorting,insertion,8,7,0.000003,1
sorting,insertion,8,8,0.000004,1
sorting,insertion,8,9,0.000004,1
sorting,insertion,8,10,0.000004,1
sorting,insertion,8,11,0.000003,1
sorting,insertion,16,0,0.000016,1
sorting,insertion,16,1,0.000015,1
sorting,insertion,16,2,0.000016,1
sorting,insertion,16,3,0.000005,1
sorting,insertion,16,4,0.000005,1
sorting,insertion,16,5,0.000005,1
sorting,insertion,16,6,0.000005,1
sorting,insertion,16,7,0.000005,1
sorting,insertion,16,8,0.000005,1
sorting,insertion,16,9,0.000005,1
sorting,insertion,16,10,0.000005,1
sorting,insertion,16,11,0.000005,1
sorting,insertion,32,0,0.000039,1
sorting,insertion,32,1,0.000043,1
sorting,insertion,32,2,0.000045,1
sorting,insertion,32,3,0.000008,1
sorting,insertion,32,4,0.000007,1
sorting,insertion,32,5,0.000008,1
sorting,insertion,32,6,0.000008,1
sorting,insertion,32,7,0.000008,1
sorting,insertion,32,8,0.000008,1
sorting,insertion,32,9,0.000007,1
sorting,insertion,32,10,0.000008,1
sorting,insertion,32,11,0.000008,1
sorting,insertion,64,0,0.000146,1
sorting,insertion,64,1,0.000161,1
sorting,insertion,64,2,0.000181,1
sorting,insertion,64,3,0.000133,1
sorting,insertion,64,4,0.000136,1
sorting,insertion,64,5,0.000110,1
sorting,insertion,64,6,0.000014,1
sorting,insertion,64,7,0.000013,1
sorting,insertion,64,8,0.000013,1
sorting,insertion,64,9,0.000013,1
sorting,insertion,64,10,0.000013,1
sorting,insertion,64,11,0.000013,1
sorting,insertion,128,0,0.000627,1
sorting,insertion,128,1,0.000629,1
sorting,insertion,128,2,0.000694,1
sorting,insertion,128,3,0.000511,1
sorting,insertion,128,4,0.000510,1
sorting,insertion,128,5,0.000503,1
sorting,insertion,128,6,0.000023,1
sorting,insertion,128,7,0.000031,1
sorting,insertion,128,8,0.000023,1
sorting,insertion,128,9,0.000024,1
sorting,insertion,128,10,0.000024,1
sorting,insertion,128,11,0.000024,1
sorting,insertion,256,0,0.002408,1
sorting,insertion,256,1,0.002520,1
sorting,insertion,256,2,0.002446,1
sorting,insertion,256,3,0.002197,1
sorting,insertion,256,4,0.002235,1
sorting,insertion,256,5,0.002296,1
sorting,insertion,256,6,0.000043,1
sorting,insertion,256,7,0.000043,1
sorting,insertion,256,8,0.000044,1
sorting,insertion,256,9,0.000047,1
sorting,insertion,256,10,0.000043,1
sorting,insertion,256,11,0.000043,1
sorting,insertion,512,0,0.010088,1
sorting,insertion,512,1,0.010054,1
sorting,insertion,512,2,0.009793,1
sorting,insertion,512,3,0.009218,1
sorting,insertion,512,4,0.008496,1
sorting,insertion,512,5,0.009205,1
sorting,insertion,512,6,0.004393,1
sorting,insertion,512,7,0.004569,1
sorting,insertion,512,8,0.004896,1
sorting,insertion,512,9,0.000090,1
sorting,insertion,512,10,0.000087,1
sorting,insertion,512,11,0.000089,1
sorting,insertion,1024,0,0.038337,1
sorting,insertion,1024,1,0.037216,1
sorting,insertion,1024,2,0.037388,1
sorting,insertion,1024,3,0.036892,1
sorting,insertion,1024,4,0.037854,1
